Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol
2012-04-16 00:00:00-04:00,29.989999771118164,30.190000534057617,29.3700008392334,29.610000610351562,3063900,0.0,0.0,SNPS
2012-04-23 00:00:00-04:00,29.3700008392334,30.40999984741211,28.93000030517578,30.31999969482422,3073100,0.0,0.0,SNPS
2012-04-30 00:00:00-04:00,30.280000686645508,30.610000610351562,29.520000457763672,29.670000076293945,2947500,0.0,0.0,SNPS
2012-05-07 00:00:00-04:00,29.600000381469727,29.65999984741211,28.549999237060547,29.09000015258789,2957400,0.0,0.0,SNPS
2012-05-14 00:00:00-04:00,28.90999984741211,29.520000457763672,27.469999313354492,27.489999771118164,2764600,0.0,0.0,SNPS
2012-05-21 00:00:00-04:00,27.469999313354492,30.0,27.149999618530273,29.889999389648438,6727500,0.0,0.0,SNPS
2012-05-28 00:00:00-04:00,30.079999923706055,30.459999084472656,28.579999923706055,28.649999618530273,3145900,0.0,0.0,SNPS
2012-06-04 00:00:00-04:00,28.6299991607666,29.469999313354492,28.079999923706055,29.459999084472656,3443400,0.0,0.0,SNPS
2012-06-11 00:00:00-04:00,29.459999084472656,29.469999313354492,28.59000015258789,29.020000457763672,3028500,0.0,0.0,SNPS
2012-06-18 00:00:00-04:00,28.649999618530273,29.43000030517578,28.34000015258789,28.510000228881836,2887300,0.0,0.0,SNPS
2012-06-25 00:00:00-04:00,28.260000228881836,29.450000762939453,27.739999771118164,29.43000030517578,3488200,0.0,0.0,SNPS
2012-07-02 00:00:00-04:00,29.43000030517578,30.280000686645508,29.200000762939453,29.6200008392334,3358300,0.0,0.0,SNPS
2012-07-09 00:00:00-04:00,29.520000457763672,30.229999542236328,29.229999542236328,30.190000534057617,3358700,0.0,0.0,SNPS
2012-07-16 00:00:00-04:00,30.059999465942383,31.100000381469727,29.8799991607666,30.709999084472656,4294500,0.0,0.0,SNPS
2012-07-23 00:00:00-04:00,30.3799991607666,31.100000381469727,29.459999084472656,31.06999969482422,3552500,0.0,0.0,SNPS
2012-07-30 00:00:00-04:00,31.0,31.100000381469727,29.760000228881836,30.549999237060547,2358000,0.0,0.0,SNPS
2012-08-06 00:00:00-04:00,30.649999618530273,31.0,30.559999465942383,30.75,1992700,0.0,0.0,SNPS
2012-08-13 00:00:00-04:00,30.770000457763672,31.399999618530273,30.239999771118164,31.280000686645508,2081500,0.0,0.0,SNPS
2012-08-20 00:00:00-04:00,31.170000076293945,33.91999816894531,31.15999984741211,33.279998779296875,6891900,0.0,0.0,SNPS
2012-08-27 00:00:00-04:00,33.15999984741211,33.650001525878906,32.650001525878906,33.029998779296875,4007800,0.0,0.0,SNPS
2012-09-03 00:00:00-04:00,32.36000061035156,34.20000076293945,32.279998779296875,33.72999954223633,4601500,0.0,0.0,SNPS
2012-09-10 00:00:00-04:00,33.470001220703125,34.150001525878906,33.470001220703125,33.61000061035156,3636000,0.0,0.0,SNPS
2012-09-17 00:00:00-04:00,33.4900016784668,34.04999923706055,33.400001525878906,33.72999954223633,4039000,0.0,0.0,SNPS
2012-09-24 00:00:00-04:00,33.41999816894531,33.70000076293945,32.63999938964844,32.9900016784668,3146300,0.0,0.0,SNPS
2012-10-01 00:00:00-04:00,33.09000015258789,33.18000030517578,32.150001525878906,32.869998931884766,2921200,0.0,0.0,SNPS
2012-10-08 00:00:00-04:00,32.75,32.91999816894531,31.920000076293945,32.099998474121094,1742200,0.0,0.0,SNPS
2012-10-15 00:00:00-04:00,32.22999954223633,33.0,31.93000030517578,32.0,2669500,0.0,0.0,SNPS
2012-10-22 00:00:00-04:00,32.0,32.779998779296875,31.549999237060547,32.310001373291016,3146800,0.0,0.0,SNPS
2012-10-29 00:00:00-04:00,32.279998779296875,33.33000183105469,32.029998779296875,32.54999923706055,2056100,0.0,0.0,SNPS
2012-11-05 00:00:00-05:00,32.459999084472656,32.810001373291016,31.260000228881836,31.959999084472656,3757800,0.0,0.0,SNPS
2012-11-12 00:00:00-05:00,31.90999984741211,32.150001525878906,31.020000457763672,31.270000457763672,3270600,0.0,0.0,SNPS
2012-11-19 00:00:00-05:00,31.399999618530273,32.779998779296875,31.290000915527344,32.7599983215332,2173800,0.0,0.0,SNPS
2012-11-26 00:00:00-05:00,32.560001373291016,33.04999923706055,32.25,32.86000061035156,3080800,0.0,0.0,SNPS
2012-12-03 00:00:00-05:00,33.040000915527344,33.47999954223633,32.38999938964844,32.91999816894531,4100300,0.0,0.0,SNPS
2012-12-10 00:00:00-05:00,32.849998474121094,33.279998779296875,31.649999618530273,31.860000610351562,3965300,0.0,0.0,SNPS
2012-12-17 00:00:00-05:00,31.850000381469727,32.45000076293945,31.440000534057617,31.739999771118164,3979800,0.0,0.0,SNPS
2012-12-24 00:00:00-05:00,31.700000762939453,31.940000534057617,31.309999465942383,31.6299991607666,1780300,0.0,0.0,SNPS
2012-12-31 00:00:00-05:00,31.56999969482422,32.4900016784668,31.3700008392334,31.649999618530273,3880400,0.0,0.0,SNPS
2013-01-07 00:00:00-05:00,31.399999618530273,31.940000534057617,31.34000015258789,31.809999465942383,6322500,0.0,0.0,SNPS
2013-01-14 00:00:00-05:00,31.84000015258789,32.84000015258789,31.739999771118164,32.2400016784668,3815100,0.0,0.0,SNPS
2013-01-21 00:00:00-05:00,32.16999816894531,33.61000061035156,31.969999313354492,33.61000061035156,5864400,0.0,0.0,SNPS
2013-01-28 00:00:00-05:00,33.540000915527344,33.95000076293945,33.040000915527344,33.91999816894531,5309200,0.0,0.0,SNPS
2013-02-04 00:00:00-05:00,33.619998931884766,34.58000183105469,33.619998931884766,34.400001525878906,4438200,0.0,0.0,SNPS
2013-02-11 00:00:00-05:00,34.45000076293945,34.650001525878906,34.0099983215332,34.540000915527344,3126500,0.0,0.0,SNPS
2013-02-18 00:00:00-05:00,34.45000076293945,36.0,34.27000045776367,35.13999938964844,6510300,0.0,0.0,SNPS
2013-02-25 00:00:00-05:00,35.29999923706055,35.38999938964844,34.040000915527344,34.720001220703125,5991200,0.0,0.0,SNPS
2013-03-04 00:00:00-05:00,34.52000045776367,35.369998931884766,34.380001068115234,35.349998474121094,3277300,0.0,0.0,SNPS
2013-03-11 00:00:00-04:00,35.2400016784668,35.88999938964844,35.130001068115234,35.2599983215332,4094700,0.0,0.0,SNPS
2013-03-18 00:00:00-04:00,34.970001220703125,35.189998626708984,34.630001068115234,34.83000183105469,2818900,0.0,0.0,SNPS
2013-03-25 00:00:00-04:00,34.869998931884766,35.93000030517578,34.70000076293945,35.880001068115234,3254300,0.0,0.0,SNPS
2013-04-01 00:00:00-04:00,35.900001525878906,35.900001525878906,34.59000015258789,34.81999969482422,3294500,0.0,0.0,SNPS
2013-04-08 00:00:00-04:00,34.7400016784668,35.369998931884766,34.369998931884766,34.790000915527344,2879900,0.0,0.0,SNPS
2013-04-15 00:00:00-04:00,34.619998931884766,34.779998779296875,33.5099983215332,33.720001220703125,3579500,0.0,0.0,SNPS
2013-04-22 00:00:00-04:00,33.81999969482422,35.38999938964844,33.5,35.09000015258789,2988300,0.0,0.0,SNPS
2013-04-29 00:00:00-04:00,35.25,35.70000076293945,34.84000015258789,35.349998474121094,3662700,0.0,0.0,SNPS
2013-05-06 00:00:00-04:00,35.400001525878906,35.95000076293945,35.18000030517578,35.70000076293945,2095000,0.0,0.0,SNPS
2013-05-13 00:00:00-04:00,35.58000183105469,35.880001068115234,35.0,35.849998474121094,2185500,0.0,0.0,SNPS
2013-05-20 00:00:00-04:00,35.790000915527344,36.31999969482422,35.16999816894531,35.709999084472656,3086100,0.0,0.0,SNPS
2013-05-27 00:00:00-04:00,35.84000015258789,36.810001373291016,35.4900016784668,36.439998626708984,2798200,0.0,0.0,SNPS
2013-06-03 00:00:00-04:00,36.40999984741211,37.0,35.90999984741211,36.97999954223633,3232700,0.0,0.0,SNPS
2013-06-10 00:00:00-04:00,37.0,37.02000045776367,35.90999984741211,36.29999923706055,2502100,0.0,0.0,SNPS
2013-06-17 00:00:00-04:00,35.849998474121094,36.849998474121094,35.04999923706055,35.209999084472656,3446400,0.0,0.0,SNPS
2013-06-24 00:00:00-04:00,35.0,35.93000030517578,34.83000183105469,35.75,4466000,0.0,0.0,SNPS
2013-07-01 00:00:00-04:00,35.790000915527344,36.209999084472656,35.130001068115234,36.11000061035156,2169200,0.0,0.0,SNPS
